Right Riverbank: 	chickens: 29, 	wolves: 28, 	boat: 1

Left Riverbank: 	chickens: 71, 	wolves: 68, 	boat: 1
Right Riverbank: 	chickens: 28, 	wolves: 28, 	boat: 0

Left Riverbank: 	chickens: 69, 	wolves: 68, 	boat: 0
Right Riverbank: 	chickens: 30, 	wolves: 28, 	boat: 1

Left Riverbank: 	chickens: 70, 	wolves: 68, 	boat: 1
Right Riverbank: 	chickens: 29, 	wolves: 28, 	boat: 0

Left Riverbank: 	chickens: 69, 	wolves: 67, 	boat: 0
Right Riverbank: 	chickens: 30, 	wolves: 29, 	boat: 1

Left Riverbank: 	chickens: 70, 	wolves: 67, 	boat: 1
Right Riverbank: 	chickens: 29, 	wolves: 29, 	boat: 0

Left Riverbank: 	chickens: 68, 	wolves: 67, 	boat: 0
Right Riverbank: 	chickens: 31, 	wolves: 29, 	boat: 1

Left Riverbank: 	chickens: 69, 	wolves: 67, 	boat: 1
Right Riverbank: 	chickens: 30, 	wolves: 29, 	boat: 0

Left Riverbank: 	chickens: 68, 	wolves: 66, 	boat: 0
Right Riverbank: 	chickens: 31, 	wolves: 30, 	boat: 1

Left Riverbank: 	chickens: 69, 	wolves: 66, 	boat: 1
Right Riverbank: 	chickens: 30, 	wolves: 30, 	boat: 0

Left Riverbank: 	chickens: 67, 	wolves: 66, 	boat: 0
Right Riverbank: 	chickens: 32, 	wolves: 30, 	boat: 1

Left Riverbank: 	chickens: 68, 	wolves: 66, 	boat: 1
Right Riverbank: 	chickens: 31, 	wolves: 30, 	boat: 0

Left Riverbank: 	chickens: 67, 	wolves: 65, 	boat: 0
Right Riverbank: 	chickens: 32, 	wolves: 31, 	boat: 1

Left Riverbank: 	chickens: 68, 	wolves: 65, 	boat: 1
Right Riverbank: 	chickens: 31, 	wolves: 31, 	boat: 0

Left Riverbank: 	chickens: 66, 	wolves: 65, 	boat: 0
Right Riverbank: 	chickens: 33, 	wolves: 31, 	boat: 1

Left Riverbank: 	chickens: 67, 	wolves: 65, 	boat: 1
Right Riverbank: 	chickens: 32, 	wolves: 31, 	boat: 0

Left Riverbank: 	chickens: 66, 	wolves: 64, 	boat: 0
Right Riverbank: 	chickens: 33, 	wolves: 32, 	boat: 1

Left Riverbank: 	chickens: 67, 	wolves: 64, 	boat: 1
Right Riverbank: 	chickens: 32, 	wolves: 32, 	boat: 0

Left Riverbank: 	chickens: 65, 	wolves: 64, 	boat: 0
Right Riverbank: 	chickens: 34, 	wolves: 32, 	boat: 1

Left Riverbank: 	chickens: 66, 	wolves: 64, 	boat: 1
Right Riverbank: 	chickens: 33, 	wolves: 32, 	boat: 0

Left Riverbank: 	chickens: 65, 	wolves: 63, 	boat: 0
Right Riverbank: 	chickens: 34, 	wolves: 33, 	boat: 1

Left Riverbank: 	chickens: 66, 	wolves: 63, 	boat: 1
Right Riverbank: 	chickens: 33, 	wolves: 33, 	boat: 0

Left Riverbank: 	chickens: 64, 	wolves: 63, 	boat: 0
Right Riverbank: 	chickens: 35, 	wolves: 33, 	boat: 1

Left Riverbank: 	chickens: 65, 	wolves: 63, 	boat: 1
Right Riverbank: 	chickens: 34, 	wolves: 33, 	boat: 0

Left Riverbank: 	chickens: 64, 	wolves: 62, 	boat: 0
Right Riverbank: 	chickens: 35, 	wolves: 34, 	boat: 1

Left Riverbank: 	chickens: 65, 	wolves: 62, 	boat: 1
Right Riverbank: 	chickens: 34, 	wolves: 34, 	boat: 0

Left Riverbank: 	chickens: 63, 	wolves: 62, 	boat: 0
Right Riverbank: 	chickens: 36, 	wolves: 34, 	boat: 1

Left Riverbank: 	chickens: 64, 	wolves: 62, 	boat: 1
Right Riverbank: 	chickens: 35, 	wolves: 34, 	boat: 0

Left Riverbank: 	chickens: 63, 	wolves: 61, 	boat: 0
Right Riverbank: 	chickens: 36, 	wolves: 35, 	boat: 1

Left Riverbank: 	chickens: 64, 	wolves: 61, 	boat: 1
Right Riverbank: 	chickens: 35, 	wolves: 35, 	boat: 0

Left Riverbank: 	chickens: 62, 	wolves: 61, 	boat: 0
Right Riverbank: 	chickens: 37, 	wolves: 35, 	boat: 1

Left Riverbank: 	chickens: 63, 	wolves: 61, 	boat: 1
Right Riverbank: 	chickens: 36, 	wolves: 35, 	boat: 0

Left Riverbank: 	chickens: 62, 	wolves: 60, 	boat: 0
Right Riverbank: 	chickens: 37, 	wolves: 36, 	boat: 1

Left Riverbank: 	chickens: 63, 	wolves: 60, 	boat: 1
Right Riverbank: 	chickens: 36, 	wolves: 36, 	boat: 0

Left Riverbank: 	chickens: 61, 	wolves: 60, 	boat: 0
Right Riverbank: 	chickens: 38, 	wolves: 36, 	boat: 1

Left Riverbank: 	chickens: 62, 	wolves: 60, 	boat: 1
Right Riverbank: 	chickens: 37, 	wolves: 36, 	boat: 0

Left Riverbank: 	chickens: 61, 	wolves: 59, 	boat: 0
Right Riverbank: 	chickens: 38, 	wolves: 37, 	boat: 1

Left Riverbank: 	chickens: 62, 	wolves: 59, 	boat: 1
Right Riverbank: 	chickens: 37, 	wolves: 37, 	boat: 0

Left Riverbank: 	chickens: 60, 	wolves: 59, 	boat: 0
Right Riverbank: 	chickens: 39, 	wolves: 37, 	boat: 1

Left Riverbank: 	chickens: 61, 	wolves: 59, 	boat: 1
Right Riverbank: 	chickens: 38, 	wolves: 37, 	boat: 0

Left Riverbank: 	chickens: 60, 	wolves: 58, 	boat: 0
Right Riverbank: 	chickens: 39, 	wolves: 38, 	boat: 1

Left Riverbank: 	chickens: 61, 	wolves: 58, 	boat: 1
Right Riverbank: 	chickens: 38, 	wolves: 38, 	boat: 0

Left Riverbank: 	chickens: 59, 	wolves: 58, 	boat: 0
Right Riverbank: 	chickens: 40, 	wolves: 38, 	boat: 1

Left Riverbank: 	chickens: 60, 	wolves: 58, 	boat: 1
Right Riverbank: 	chickens: 39, 	wolves: 38, 	boat: 0

Left Riverbank: 	chickens: 59, 	wolves: 57, 	boat: 0
Right Riverbank: 	chickens: 40, 	wolves: 39, 	boat: 1

Left Riverbank: 	chickens: 60, 	wolves: 57, 	boat: 1
Right Riverbank: 	chickens: 39, 	wolves: 39, 	boat: 0

Left Riverbank: 	chickens: 58, 	wolves: 57, 	boat: 0
Right Riverbank: 	chickens: 41, 	wolves: 39, 	boat: 1

Left Riverbank: 	chickens: 59, 	wolves: 57, 	boat: 1
Right Riverbank: 	chickens: 40, 	wolves: 39, 	boat: 0

Left Riverbank: 	chickens: 58, 	wolves: 56, 	boat: 0
Right Riverbank: 	chickens: 41, 	wolves: 40, 	boat: 1

Left Riverbank: 	chickens: 59, 	wolves: 56, 	boat: 1
Right Riverbank: 	chickens: 40, 	wolves: 40, 	boat: 0

Left Riverbank: 	chickens: 57, 	wolves: 56, 	boat: 0
Right Riverbank: 	chickens: 42, 	wolves: 40, 	boat: 1

Left Riverbank: 	chickens: 58, 	wolves: 56, 	boat: 1
Right Riverbank: 	chickens: 41, 	wolves: 40, 	boat: 0

Left Riverbank: 	chickens: 57, 	wolves: 55, 	boat: 0
Right Riverbank: 	chickens: 42, 	wolves: 41, 	boat: 1

Left Riverbank: 	chickens: 58, 	wolves: 55, 	boat: 1
Right Riverbank: 	chickens: 41, 	wolves: 41, 	boat: 0

Left Riverbank: 	chickens: 56, 	wolves: 55, 	boat: 0
Right Riverbank: 	chickens: 43, 	wolves: 41, 	boat: 1

Left Riverbank: 	chickens: 57, 	wolves: 55, 	boat: 1
Right Riverbank: 	chickens: 42, 	wolves: 41, 	boat: 0

Left Riverbank: 	chickens: 56, 	wolves: 54, 	boat: 0
Right Riverbank: 	chickens: 43, 	wolves: 42, 	boat: 1

Left Riverbank: 	chickens: 57, 	wolves: 54, 	boat: 1
Right Riverbank: 	chickens: 42, 	wolves: 42, 	boat: 0

Left Riverbank: 	chickens: 55, 	wolves: 54, 	boat: 0
Right Riverbank: 	chickens: 44, 	wolves: 42, 	boat: 1

Left Riverbank: 	chickens: 56, 	wolves: 54, 	boat: 1
Right Riverbank: 	chickens: 43, 	wolves: 42, 	boat: 0

Left Riverbank: 	chickens: 55, 	wolves: 53, 	boat: 0
Right Riverbank: 	chickens: 44, 	wolves: 43, 	boat: 1

Left Riverbank: 	chickens: 56, 	wolves: 53, 	boat: 1
Right Riverbank: 	chickens: 43, 	wolves: 43, 	boat: 0

